title,date,type_of_regulation,sector
BANK INDONESIA REGULATION NUMBER 12 OF 2023 ON ISSUANCE OF MONEY MARKET INSTRUMENTS AND MONEY MARKET TRANSACTIONS,16 November 2023,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 6 OF 2023 ON MONEY MARKET AND FOREIGN EXCHANGE MARKET,27 June 2023,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 4 OF 2023 ON SHORT-TERM LIQUIDITY ASSISTANCE FOR CONVENTIONAL COMMERCIAL BANKS,27 June 2023,Bank Indonesia Regulation,Macroprudential
BANK INDONESIA REGULATION NUMBER 24/2/PBI/2022 ON TRANSACTIONS BETWEEN BANKS AND BANK INDONESIA TO SUPPORT LOCAL CURRENCY SETTLEMENT,28 January 2023,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 24/20/PBI/2022 ON SHARIA HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,30 December 2022,Bank Indonesia Regulation,Monetary
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/22/PADG/2022 ON IMPLEMENTING REGULATION ON SHARIA HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,29 December 2022,Member Of The Board Of Governors Regulation,Monetary
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/11/PADG/2022 ON DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,8 July 2022,Member Of The Board Of Governors Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 24/7/PBI/2022 ON TRANSACTIONS IN FOREIGN EXCHANGE MARKET,4 July 2022,Bank Indonesia Regulation,Monetary
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/10/PADG/2022 DATED 4 JULY 2022 ON IMPLEMENTING REGULATION ON TRANSACTIONS IN FOREIGN EXCHANGE MARKET,4 July 2022,Member Of The Board Of Governors Regulation,Monetary
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 24/2/PADG/2022 ON TRANSACTIONS OF SECURITIES UNDER CROSS CURRENCY REPURCHASE AGREEMENT IN RUPIAH AGAINST RINGGIT BETWEEN BANKS AND BANK INDONESIA TO SUPPORT LOCAL CURRENCY SETTLEMENT,25 February 2022,Member Of The Board Of Governors Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 23/18/PBI/2021 ON MONETARY CONTROL,28 December 2021,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NOMOR 23/7/PBI/2021 ON PAYMENT SYSTEM INFRASTRUCTURE PROVIDERS,1 July 2021,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 23/6/PBI/2021 ON PAYMENT SERVICE PROVIDERS,1 July 2021,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 23/5/PBI/2021 ON MONITORING SYSTEM FOR TRANSACTIONS ON FOREIGN CURRENCIES AGAINST RUPIAH,25 May 2021,Bank Indonesia Regulation,Payment System And Rupiah Management
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 23/4/PADG/2021 ON AMENDMENT TO REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 20/18/PADG/2018 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,31 March 2021,Member Of The Board Of Governors Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 23/4/PBI/2021 ON THE FOURTH AMENDMENT TO BANK INDONESIA REGULATION NUMBER 15/17/PBI/2013 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,31 March 2021,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NUMBER 22/23/PBI/2020 ON PAYMENT SYSTEM,29 December 2020,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 22/14/PBI/2020 ON MONETARY OPERATION,28 September 2020,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 22/14/PBI/2022 ON MONETARY OPERATION,28 September 2020,Bank Indonesia Regulation,Monetary
REGULATION OF MEMBER OF BOARD OF GOVERNORS NO. 22/20/PADG/2020 ON SETTLEMENT FOR BILATERAL TRANSACTIONS BETWEEN INDONESIA AND JAPAN USING RUPIAH AND YEN THROUGH BANK,28 August 2020,Member Of The Board Of Governors Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 22/12/PBI/2020 ON SETTLEMENT FOR BILATERAL TRANSACTIONS USING LOCAL CURRENCIES THROUGH BANK,27 August 2020,Bank Indonesia Regulation,Monetary
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 22/14/PADG/2020 ON PROCEDURE FOR LICENSING AND OPERATION OF CENTRAL COUNTERPARTIES FOR OVER-THE-COUNTER INTEREST RATE AND EXCHANGE RATE DERIVATIVE TRANSACTIONS,28 May 2020,Member Of The Board Of Governors Regulation,Monetary
BANK INDONESIA REGULATION NO. 22/2/PBI/2020 ON THE SECOND AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/10/PBI/2018 ON DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,19 March 2020,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 21/14/PBI/2019 ON EXPORT PROCEEDS AND IMPORT PAYMENTS,29 November 2019,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 21/11/PBI/2019 ON CENTRAL COUNTERPARTIES FOR OVER-THE-COUNTER INTEREST RATE AND EXCHANGE RATE DERIVATIVE TRANSACTIONS,2 October 2019,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 21/9/PBI/2019 ON INTEGRATED COMMERCIAL BANK REPORTING,30 August 2019,Bank Indonesia Regulation,Monetary
REGULATION OF BOARD OF MEMBER OF GOVERNORS NUMBER 21/18/PADG/2019 ON IMPLEMENTATION OF NATIONAL STANDARD ON QUICK RESPONSE CODE FOR PAYMENT,21 August 2019,Member Of The Board Of Governors Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 21/7/PBI/2019 CONCERNING AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/10/PBI/2018 CONCERNING DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,17 May 2019,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 21/6/PBI/2019 ON THE THIRD AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/5/PBI/2018 ON MONETARY OPERATION,30 April 2019,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 21/5/PBI/2019 ON MARKET OPERATORS IN THE MONEY MARKET AND FOREIGN EXCHANGE MARKET,29 April 2019,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 21/1/PBI/2019 ON BANK’S EXTERNAL DEBTS AND OTHER LIABILITIES IN FOREIGN CURRENCY,7 January 2019,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 20/14/PBI/2018 ON THE SECOND AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/5/PBI/2018 ON MONETARY OPERATION,16 December 2018,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 20/13/PBI/2018 ON RUPIAH INTEREST RATE DERIVATIVE TRANSACTIONS,14 November 2018,Bank Indonesia Regulation,Monetary
"REGULATION OF BANK INDONESIA NUMBER 20/11/PBI/2018 OF 2018 ON THE THIRD AMENDMENT TO REGULATION OF BANK INDONESIA NUMBER 17/18/PBI/2015 ON THE ORGANIZATION OF TRANSACTIONS, ADMINISTRATION OF SECURITIES, AND REAL-TIME FUND SETTLEMENT",19 October 2018,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 20/10/PBI/2018 CONCERNING DOMESTIC NON-DELIVERABLE FORWARD TRANSACTIONS,28 September 2018,Bank Indonesia Regulation,Monetary
REGULATION OF MEMBER OF BOARD OF GOVERNORS NUMBER 20/18/PADG/2018 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,21 August 2018,Member Of The Board Of Governors Regulation,Monetary
REGULATION OF BANK INDONESIA NUMBER 20/09/PBI/2018 ON SHARIA CERTIFICATE OF DEPOSIT TRANSACTIONS IN THE MONEY MARKET,1 August 2018,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 20/12/PBI/2018 ON AMENDMENT TO BANK INDONESIA REGULATION NUMBER 20/5/PBI/2018 ON MONETARY OPERATION,4 June 2018,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 20/6/PBI/2018 ON ELECTRONIC MONEY,7 May 2018,Bank Indonesia Regulation,Payment System And Rupiah Management
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/9/PADG/2018 ON STANDING FACILITIES,30 April 2018,Member Of The Board Of Governors Regulation,Monetary
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/8/PADG/2018 ON CRITERIA AND REQUIREMENTS FOR SECURITIES IN MONETARY OPERATION,30 April 2018,Member Of The Board Of Governors Regulation,Monetary
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/7/PADG/2018 ON MONETARY OPERATION PARTICIPATION,30 April 2018,Member Of The Board Of Governors Regulation,Monetary
REGULATION OF BANK INDONESIA NUMBER 20/5/PBI/2018 ON MONETARY OPERATION,23 April 2018,Bank Indonesia Regulation,Monetary
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/6/PADG/2018 ON IMPLEMENTATION OF OPEN MARKET OPERATION,20 April 2018,Member Of The Board Of Governors Regulation,Monetary
REGULATION OF MEMBERS OF BOARD OF GOVERNORS NUMBER 20/5/PADG/2018 ON INSTRUMENTS IN OPEN MARKET OPERATION,20 April 2018,Member Of The Board Of Governors Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 20/2/PBI/2018 CONCERNING AN AMENDMENT TO BANK INDONESIA REGULATION NUMBER 19/7/PBI/2017 CONCERNING CARRYING FOREIGN BANKNOTES INTO AND OUT OF THE CUSTOMS TERRITORY OF THE REPUBLIC OF INDONESIA,8 March 2018,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 19/12/PBI/2017 ON THE IMPLEMENTATION OF FINANCIAL TECHNOLOGY,29 November 2017,Bank Indonesia Regulation,Payment System And Rupiah Management
REGULATION OF BANK INDONESIA NO. 19/8/PBI/2017 ON NATIONAL PAYMENT GATEWAY,1 November 2017,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 19/10/PBI/2017 CONCERNING IMPLEMENTATION OF ANTI-MONEY LAUNDERING AND PREVENTION OF TERRORISM FINANCING FOR NON-BANK PAYMENT SYSTEM SERVICE PROVIDER AND NON-BANK MONEY CHANGING SERVICE PROVIDER,17 October 2017,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 19/7/PBI/2017 CONCERNING CARRYING FOREIGN BANKNOTES INTO AND OUT OF THE CUSTOMS TERRITORY OF THE REPUBLIC OF INDONESIA,3 May 2017,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 19/2/PBI/2017 ON NEGOTIABLE CERTIFICATE OF DEPOSIT TRANSACTIONS IN THE MONEY MARKET,16 March 2017,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER OF BANK INDONESIA NO. 18/42/DKSP ON NON-BANK FOREIGN EXCHANGE BUSINESS ACTIVITIES,3 January 2017,Bank Indonesia Circular Letters,Payment System And Rupiah Management
REGULATION OF BANK INDONESIA NUMBER 18/20/PBI/2016 ON BUSINESS ACTIVITIES OF NON-BANK FOREIGN EXCHANGE,19 October 2016,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 18/19/PBI/2016 ON FOREIGN EXCHANGE TRANSACTIONS AGAINST RUPIAH BETWEEN BANK AND FOREIGN PARTY,5 September 2016,Bank Indonesia Regulation,Monetary
"REGULATION OF BANK INDONESIANUMBER 18/6/PBI/2016 OF 2016 ON THE AMENDMENT TO REGULATION OF BANK INDONESIA NUMBER 17/18/PBI/2015 ON THE OPERATION OF TRANSACTIONS, ADMINISTRATION OF SECURITIES, AND REAL-TIME FUND SETTLEMENT",28 April 2016,Bank Indonesia Regulation,Payment System And Rupiah Management
CIRCULAR LETTER NO. 18/6/DKEM CONCERNING SECOND AMENDMENT OF BANK INDONESIA CIRCULAR LETTER NUMBER 16/24/DKEM DATED 30 DECEMBER 2014 CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF NON-BANK CORPORATION,22 April 2016,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER 18/4/PBI/2016 CONCERNING AMENDMENT OF BANK INDONESIA REGULATION NUMBER 16/21/PBI/2014 CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF NON-BANK CORPORATION,22 April 2016,Bank Indonesia Regulation,Monetary
BANK INDONESIA CIRCULAR LETTER NO. 17/37/DPM TO ALL COMMERCIAL BANKS AND INTERMEDIARY AGENCIES CONCERNING OPEN MARKET OPERATIONS,16 November 2015,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA CIRCULAR LETTER NO. 17/36/DPM CONCERNING IMPLEMENTATION OF BANK INDONESIA - ELECTRONIC TRADING PLATFORM SYSTEM,16 November 2015,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA CIRCULAR LETTER NO. 17/39/DPM CONCERNING STANDING FACILITIES,16 November 2015,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA CIRCULAR LETTER NO. 17/38/DPM CONCERNING CRITERIA AND REQUIREMENTS FOR SECURITIES, PARTICIPANTS, AND INTERMEDIARY AGENCIES IN MONETARY OPERATIONS",16 November 2015,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA CICULAR NO. 17/33/DPSP DATED 13 NOVEMBER 2015 CONCERNING PROCEDURE FOR THE USAGE OF INTRADAY LIQUIDITY FACILITY,13 November 2015,Bank Indonesia Circular Letters,Payment System And Rupiah Management
BANK INDONESIA CICULAR NO. 17/31/DPSP DATED 13 NOVEMBER 2015 CONCERNING OPERATION OF SECURITIES ADMINISTRATION THROUGH BANK INDONESIA-SCRIPLESS SECURITIES SETTLEMENT SYSTEM,13 November 2015,Bank Indonesia Circular Letters,Payment System And Rupiah Management
BANK INDONESIA CICULAR NO. 17/30/DPSP DATED 13 NOVEMBER 2015 CONCERNING OPERATION OF REAL TIME FUND SETTLEMENT THROUGH SISTEM BANK INDONESIA-REAL TIME GROSS SETTLEMENT,13 November 2015,Bank Indonesia Circular Letters,Payment System And Rupiah Management
"BANK INDONESIA REGULATION NUMBER 17/18/PBI/2015 CONCERNING BANK INDONESIA OPERATED SYSTEMS FOR MANAGEMENT OF TRANSACTIONS, ADMINISTRATIONS OF SECURITIES, AND REALTIME FUND SETTLEMENT",12 November 2015,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NUMBER 17/20/PBI/2015 CONCERNING THE THIRD AMENDMENT TO BANK INDONESIA REGULATION NUMBER 12/11/PBI/2010 CONCERNING MONETARY OPERATIONS,12 November 2015,Bank Indonesia Regulation,Monetary
"CIRCULAR LETTER NO. 17/18/DKEM, 30 JUNE 2015, AMENDMENT OF BANK INDONESIA CIRCULAR LETTER NUMBER 16/24/DKEM DATED 30TH DECEMBER 2014 CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF NON-BANK CORPORATION",30 June 2015,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA CICULAR NO. 17/11/DKSP DATED 1 JUNE 2015 CONCERNING MANDATORY USE OF RUPIAH WITHIN THE TERRITORY OF THE REPUBLIC OF INDONESIA,1 June 2015,Bank Indonesia Circular Letters,Payment System And Rupiah Management
CIRCULAR LETTER NO. 16/24/DKEM CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF NON-BANK CORPORATION,30 December 2014,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER 16/21/PBI/2014 DATE 29TH DECEMBER 2014 CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF THE NON-BANK CORPORATION,29 December 2014,Bank Indonesia Regulation,Monetary
"BANK INDONESIA REGULATION NUMBER 16/20/PBI/2014 DATE 28 OCTOBER 2014, CONCERNING THE IMPLEMENTATION OF PRUDENTIAL PRINCIPLES IN MANAGING EXTERNAL DEBT OF THE NONBANK CORPORATION",28 October 2014,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 16/ 19 /PBI/2014 DATED 17 SEPTEMBER 2014 CONCERNING AMENDMENT TO BANK INDONESIA REGULATION NO. 15/17/PBI/2013 ON HEDGE SWAP TRANSACTIONS TO BANK INDONESIA,17 September 2014,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO.16/18/PBI/2014 DATED 17 SEPTEMBER 201 CONCERNING AMENDMENT TO BANK INDONESIA REGULATION NUMBER 15/8/PBI/2013 ON HEDGING TRANSACTION TO BANKS,17 September 2014,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 16/17/PBI/2014 DATED 17 SEPTEMBER 2014 CONCERNING FOREIGN EXCHANGE TRANSACTIONS AGAINST RUPIAH BETWEEN BANKS AND FOREIGN PARTIES,17 September 2014,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 16/16/PBI/2014 DATED 17 SEPTEMBER 2014 CONCERNING FOREIGN EXCHANGE TRANSACTIONS AGAINST RUPIAH BETWEEN BANKS AND DOMESTIC PARTIES,16 September 2014,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 16/12/PBI/2014 CONCERNING SHARIA MONETARY OPERATION,24 July 2014,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 16/1/PBI/2014 DATE 21 JANUARY 2014 CONCERNING CONSUMER PROTECTION IN PAYMENT SYSTEM SERVICE,21 January 2014,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATIOAN NO. 15/16/PBI/2013 ON RESERVE REQUIREMENT IN RUPIAH AND FOREIGN CURRENCIES FOR SHARIA BANKS AND SHARIA BUSINESS UNITS,24 December 2013,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO. 15/15/PBI/2013 ON RESERVE REQUIREMENT IN RUPIAH AND FOREIGN CURRENCIES FOR CONVENTIONAL COMMERCIAL BANKS,24 December 2013,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER NO. 15/49/DPKL CONCERNING LEMBAGA PENGELOLA INFORMASI PERKREDITAN (CREDIT BUREAU),5 December 2013,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO.14/15/PBI/2012 - CONCERNING ASSESSMENT OF COMMERCIAL BANK ASSET QUALITY,24 October 2013,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO.12/21/PBI/2011 - CONCERNING BANK BUSINESS PLAN,19 October 2013,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO.14/14/PBI/2012 - CONCERNING BANK REPORT TRANSPARENCY AND PUBLICATION,18 October 2013,Bank Indonesia Regulation,Banking
CIRCULAR NO. 15/41/DKMP CONCERNING CALCULATION OF SECONDARY RESERVE REQUIREMENTS AND RESERVE REQUIREMENTS BY LOAN TO DEPOSIT RATIO IN RUPIAH,1 October 2013,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO. 15/7/PBI/2013 ON THE SECOND AMENDMENT TP BANK INDONESIA REGULATION NO. 12/19/PBI/2010 ON RESERVE REQUIREMENT OF COMMERCIAL BANKS WITH BANK INDONESIA IN RUPIAH AND FOREIGN CURRENCIES,26 September 2013,Bank Indonesia Regulation,Banking
"CIRCULAR NO. 15/40/DKMP CONCERNING RISK MANAGEMENT APPLICATION TO BANKS PROVIDING CREDIT EXTENSION OR PROPERTY OWNERSHIP FINANCING, CONSUMPTION CREDIT OR FINANCING WITH COLLATERALIZED PROPERTY, AND MOTORIZED VEHICLE CREDIT OR FINANCING",24 September 2013,Bank Indonesia Circular Letters,Banking
CIRCULAR LETTER NO. 15/33/DPM CONCERNING THE THIRD AMENDMENT OF BANK INDONESIA CIRCULAR LETTER NO. 10/42/DPD ON PURCHASE OF FOREIGN CURRENCIES AGAINST RUPIAH TO BANKS,27 August 2013,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER OF BANK INDONESIA NO. 15/32/DPM CONCERNING THE SIXTH AMENDMENT OF BANK INDONESIA CIRCULAR LETTER NO. 12/18/DPM DATED 7 JULY 2010 REGARDING OPEN MARKET OPERATIONS (OPT),27 August 2013,Bank Indonesia Circular Letters,Monetary
"EXTERNAL CIRCULAR NUMBER 15/30/DPM ON AMENDMENT TO CIRCULAR OF BANK INDONESIA NUMBER 12/16/DPM DATED 6 JULY 2010 ON CRITERIA AND REQUIREMENTS FOR SECURITIES, PARTICIPANTS, AND INTERMEDIARIES IN MONETARY OPERATIONS",27 August 2013,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO.15/5/PBI/2013 CONCERNING THE SECOND AMENDMENT OF BANK INDONESIA REGULATION NUMBER 12/11/PBI/2010 CONCERNING MONETARY OPERATION,27 August 2013,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER OF BANK INDONESIA NUMBER 15/23/DASP CONCERNING PROVISION OF FUNDS TRANSFERS,27 June 2013,Bank Indonesia Circular Letters,Payment System And Rupiah Management
BANK INDONESIA REGULATION NO.15/1/PBI/2013 CONCERNING CREDIT BUREAU,18 February 2013,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO.14/27/PBI/2012 - CONCERNING IMPLEMENTATION OF ANTI MONEY LAUNDERING AND COMBATING THE FINANCING OF TERRORISM PROGRAM FOR COMMERCIAL BANK,28 December 2012,Bank Indonesia Regulation,Banking
CIRCULAR LETTER OF BANK INDONESIA NUMBER 14/38/DASP CONCERNING STANDARD GUIDELINES FOR IMPLEMENTATION OF THE ANTI-MONEY LAUNDERING AND PREVENTION OF TERRORISM FINANCING PROGRAMME FOR NON-BANK PROVIDERS OF PAYMENT SYSTEM SERVICES,28 December 2012,Bank Indonesia Circular Letters,Payment System And Rupiah Management
CIRCULLAR LETTER NO.14/37/DPNP - MINIMUM CAPITAL REQUIREMENT BASED ON RISK PROFILE AND FULFILLMENT OF CAPITAL EQUIVALENCY MAINTAINED ASSETS (CEMA),27 December 2012,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO.14/18/PBI/2012 - CONCERNING MINIMUM CAPITAL ADEQUACY REQUIREMENT FOR COMMERCIAL BANKS,28 November 2012,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO. 14/17/PBI/2012, DATED 23RD NOVEMBER 2012, CONCERNING BANK BUSINESS ACTIVITY IN THE FORM OF TRUST",23 November 2012,Bank Indonesia Regulation,Banking
