title,date,type_of_regulation,sector
"CIRCULAR LETTER NO. 7/11/DPM THE NINTH ALTERATION ON BANK INDONESIA CIRCULAR LETTER NO. 6/20/DPM DATED APRIL 26, 2004 CONCERNING THE INTEREST RATE FOR THIRD PARTY DEPOSIT AND INTERBANK MONEY MARKET UNDER GOVERNMENT GUARANTEE",31 March 2005,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 7/ 8 /DPNP RATING AGENCIES AND RATINGS ACKNOWLEDGED BY BANK INDONESIA,31 March 2005,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO. 7/10/PBI/2005 COMMERCIAL BANK DAILY REPORT,9 March 2005,Bank Indonesia Regulation,Monetary
"CIRCULAR LETTER NO. 7/6/DPM THE EIGHTH ALTERATION ON BANK INDONESIA CIRCULAR LETTER NO.6/20/DPM DATED APRIL 26, 2004 CONCERNING THE INTEREST RATE FOR THIRD PARTY DEPOSIT AND INTERBANK MONEY MARKET UNDER GOVERNMENT GUARANTEE",28 February 2005,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 7/5/DPBS COMMERCIAL BANKS CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES AND APPENDIX,8 February 2005,Bank Indonesia Circular Letters,Banking
"CIRCULAR LETTER NO. 7/4/DPM AMENDMENTS ON CIRCULAR LETTER NUMBER 6/5/DPM DATED FEBRUARY 16, 2004 CONCERNING IMPLEMENTATION AND SETTLEMENTS OF BANK INDONESIA DEPOSIT FACILITY IN RUPIAH CURRENCY (FASBI)",1 February 2005,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 7/3/DPNP ASSET QUALITY RATING FOR COMMERCIAL BANKS  AND  APPENDIX,31 January 2005,Bank Indonesia Circular Letters,Banking
"CIRCULAR LETTER NO. 7/2/DPM THE SEVENTH ALTERATION ON BANK INDONESIA CIRCULAR LETTER NO. 6/20/DPM DATED APRIL 26, 2004 CONCERNING THE INTEREST RATE FOR THIRD PARTY DEPOSIT AND INTERBANK MONEY MARKET UNDER GOVERNMENT GUARANTEE",28 January 2005,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 7/9/PBI/2005 SHARIA RURAL BANK MONTHLY REPORTS,25 January 2005,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 7/8/PBI/2005 THE DEBTOR INFORMATION SYSTEM,24 January 2005,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 7/7/PBI/2005 RESOLUTION OF CUSTOMER COMPLAINTS,20 January 2005,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 7/6/PBI/2005 TRANSPARENCY IN BANK PRODUCT INFORMATION AND USE OF CUSTOMER PERSONAL DATA,20 January 2005,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO. 7/5/PBI/2005 SPECIAL TREATMENT FOR COMMERCIAL BANK CREDIT FOLLOWING THE NATIONAL DISASTER IN THE ACEH PROVINCE AND NIAS REGENCY, NORTH SUMATRA PROVINCE",20 January 2005,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 7/4/PBI/2005 PRUDENTIAL PRINCIPLES IN ASSET SECURITIZATION FOR COMMERCIAL BANKS,20 January 2005,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 7/3/PBI/2005 THE LEGAL LENDING LIMIT FOR COMMERCIAL BANKS,20 January 2005,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 7/2/PBI/2005 ASSET QUALITY RATING FOR COMMERCIAL BANKS,20 January 2005,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 7/1/PBI/2005 BANK FOREIGN BORROWINGS  AND  APPENDIX,10 January 2005,Bank Indonesia Regulation,Banking
CIRCULAR LETTER NO. 7/1/DPM IMPLEMENTATION OF FINE TUNE OPERATIONS TRANSACTIONS IN OPEN MARKET OPERATIONS  AND  APPENDIX,3 January 2005,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 6/33/PBI/2004 SECOND AMENDMENT TO BANK INDONESIA REGULATION NUMBER 4/9/PBI/2002 CONCERNING OPEN MARKET OPERATIONS,31 December 2004,Bank Indonesia Regulation,Monetary
"CIRCULAR LETTER NO. 6/50/DPM THE SIXTH ALTERATION ON BANK INDONESIA CIRCULAR LETTER NO. 6/20/DPM DATED APRIL 26, 2004 CONCERNING BLANKET GUARANTEE INTEREST RATE FOR DEPOSIT AND INTERBANK MONEY MARKET",30 December 2004,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA REGULATION NO. 6/32/PBI/2004 ISSUANCE AND CIRCULATION OF THE YEAR 2004 ISSUE OF SPECIAL UNCUT NOTES IN THE 20,000 (TWENTY THOUSAND) RUPIAH DENOMINATION",28 December 2004,Bank Indonesia Regulation,Payment System And Rupiah Management
"BANK INDONESIA REGULATION NO. 6/31/PBI/2004 ISSUANCE AND CIRCULATION OF THE YEAR 2004 ISSUE OF SPECIAL UNCUT NOTES IN THE 100,000 (ONE HUNDRED THOUSAND) RUPIAH DENOMINATION",28 December 2004,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NO. 6/30/PBI/2004 OPERATION OF CARD-BASED PAYMENT INSTRUMENT ACTIVITIES,28 December 2004,Bank Indonesia Regulation,Payment System And Rupiah Management
"BANK INDONESIA REGULATION NO. 6/29/PBI/2004 ISSUANCE AND CIRCULATION OF THE YEAR 2004 ISSUE OF BANKNOTES IN THE 20,000 (TWENTY THOUSAND) RUPIAH DENOMINATION",28 December 2004,Bank Indonesia Regulation,Payment System And Rupiah Management
"BANK INDONESIA REGULATION NO. 6/28/PBI/2004 ISSUANCE AND CIRCULATION OF THE YEAR 2004 ISSUE OF BANKNOTES IN THE 100,000 (ONE HUNDRED THOUSAND) RUPIAH DENOMINATION",28 December 2004,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NO. 6/27/PBI/2004 SUPERVISION OF VILLAGE CREDIT AGENCIES,13 December 2004,Bank Indonesia Regulation,Banking
"CIRCULAR LETTER NO. 6/48/DPM THE FIFTH ALTERATION ON BANK INDONESIA CIRCULAR LETTER NO. 6/20/DPM DATED APRIL 26, 2004 CONCERNING THE INTEREST RATE FOR DEPOSIT AND INTERBANK MONEY MARKET UNDER GOVERNMENT GUARANTEE",29 October 2004,Bank Indonesia Circular Letters,Monetary
"CIRCULAR LETTER NO. 6/47/DPM THE SECOND ALTERATION ON CIRCULAR LETTER NUMBER 6/17/DPM DATED APRIL 6, 2004 CONCERNING SECONDARY MARKET TRADING OF BANK INDONESIA CERTIFICATES UNDER REPURCHASE AGREEMENTS (REPO) WITH BANK INDONESIA",29 October 2004,Bank Indonesia Circular Letters,Monetary
"CIRCULAR LETTER NO. 6/46/DPM THE FOURTH ALTERATION ON BANK INDONESIA CIRCULAR LETTER NO. 6/20/DPM DATED APRIL 26, 2004 CONCERNING THE INTEREST RATE FOR DEPOSIT AND INTER BANK MONEY MARKET UNDER GOVERNMENT GUARANTEE.",29 October 2004,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 6/26/PBI/2004 INTEREST RATES AND FINANCING RATIOS UNDER THE PROFIT SHARING PRINCIPLE FOR PROGRAM CREDIT,25 October 2004,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO. 6/25/PBI/2004 COMMERCIAL BANK'S BUSINESS PLAN,22 October 2004,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 6/24/PBI/2004 COMMERCIAL BANKS CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES,14 October 2004,Bank Indonesia Regulation,Banking
CIRCULAR LETTER NO. 6/43/DPNP IMPLEMENTATION OF RISK MANAGEMENT FOR BANKS ENGAGING IN JOINT MARKETING EFFORTS WITH INSURANCE COMPANY (BANCASSURANCE),7 October 2004,Bank Indonesia Circular Letters,Banking
CIRCULAR LETTER NO. 6/42/DASP RECORDING FACILITY FOR CLEARING RESULT DATA,7 October 2004,Bank Indonesia Circular Letters,Payment System And Rupiah Management
"CIRCULAR LETTER NO. 6/41/DPM THE ALTERATION ON BANK INDONESIA CIRCULAR LETTER NUMBER 6/13/DPM DATED MARCH 11, 2004 CONCERNING THE PROCEDURES FOR LICENSING, THE IMPLEMENTATION OF KNOW YOUR CUSTOMER PRINCIPLES, THE SUPERVISION, THE REPORTING AND SANCTION O",5 October 2004,Bank Indonesia Circular Letters,Monetary
"CIRCULAR LETTER NO. 6/40/DPM THE THIRD ALTERATION ON BANK INDONESIA CIRCULAR LETTER NO. 6/20/DPM DATED APRIL 26TH, 2004 CONCERNING THE INTEREST RATE FOR DEPOSIT AND INTER BANK MONEY MARKET UNDER GOVERNMENT GUARANTEE",30 September 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/39/DASP CLEARING FEES,16 September 2004,Bank Indonesia Circular Letters,Payment System And Rupiah Management
CIRCULAR LETTER NO. 6/38/DASP USE OF COURIER SERVICE COMPANIES AND IDENTIFICATION TAGS IN LOCAL CLEARING PROCESS  AND  APPENDIX,16 September 2004,Bank Indonesia Circular Letters,Payment System And Rupiah Management
CIRCULAR LETTER NO. 6/37/DPNP ASSESSMENT AND IMPOSITION OF SANCTIONS IN REGARD TO THE APPLICATION OF KNOW YOUR CUSTOMER PRINCIPLES AND OTHER REQUIREMENTS PERTAINING TO THE LAW ON MONEY LAUNDERING CRIME  AND  APPENDIX,10 September 2004,Bank Indonesia Circular Letters,Banking
CIRCULAR LETTER NO. 6/36/DPM THE SECOND ALTERATION ON BANK INDONESIA CIRCULAR LETTER NO. 6/20/DPM DATED APRIL 26TH 2004 CONCERNING THE INTEREST RATE FOR DEPOSIT AND INTER BANK MONEY MARKET UNDER GOVERNMENT GUARANTEE,30 August 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/35/DPBPR FIT AND PROPER TEST FOR RURAL CREDIT BANKS  AND  APPENDIX,16 August 2004,Bank Indonesia Circular Letters,Banking
CIRCULAR LETTER NO. 6/34/DPBPR CERTIFYING INSTITUTION FOR RURAL CREDIT BANKS,13 August 2004,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO. 6/23/PBI/2004 THE FIT AND PROPER TEST FOR RURAL BANKS,9 August 2004,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 6/22/PBI/2004 RURAL BANKS,9 August 2004,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 6/21/PBI/2004 STATUTORY RESERVES IN RUPIAHS AND FOREIGN CURRENCY FOR COMMERCIAL BANKS CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES,3 August 2004,Bank Indonesia Regulation,Banking
"CIRCULAR LETTER NO. 6/32/DPM AN ALTERATION ON BANK INDONESIA CIRCULAR LETTER NO. 6/20/DPM DATED APRIL 26, 2004 ON THE INTEREST RATE FOR DEPOSIT AND INTER BANK MONEY MARKET UNDER GOVERNMENT GUARANTEE",30 July 2004,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 6/20/PBI/2004 THE AMENDMENT OF BANK INDONESIA REGULATION NUMBER 5/13/PBI/2003 CONCERNING NET OPEN POSITION FOR COMMERCIAL BANKS,15 July 2004,Bank Indonesia Regulation,Banking
"CIRCULAR LETTER NO. 6/30/DPM AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 6/10/DPM DATED FEBRUARY 16TH, 2004 CONCERNING THE PROCEDURES FOR BIDDING OF GOVERNMENT SECURITIES IN THE PRIMARY MARKET",12 July 2004,Bank Indonesia Circular Letters,Monetary
"CIRCULAR LETTER NO. 6/29/DPM AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 6/1/DPM DATED FEBRUARY 16TH, 2004 CONCERNING BANK INDONESIA SCRIPLESS SECURITIES SETTLEMENT SYSTEM  AND  APPENDIX",12 July 2004,Bank Indonesia Circular Letters,Monetary
"CIRCULAR LETTER NO. 6/28/BKR AMENDMENT TO CIRCULAR LETTER OF BANK INDONESIA NO. 5/30/BKR DATED NOVEMBER 18, 2003, CONCERNING HANDOVER OF MANAGEMENT OF BANK INDONESIA LIQUIDITY CREDIT WITHIN THE FRAMEWORK OF PROGRAM CREDIT",9 July 2004,Bank Indonesia Circular Letters,Banking
"CIRCULAR LETTER NO. 6/27/DPM THE ALTERATION TO BANK INDONESIA CIRCULAR LETTER NO. 6/17/DPM DATED APRIL 6, 2004 CONCERNING SECONDARY MARKET TRADING OF BANK INDONESIA CERTIFICATE UNDER REPURCHASE AGREEMENT WITH BANK INDONESIA",8 July 2004,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 6/19/PBI/2004 ALLOWANCE FOR EARNING ASSETS LOSSES FOR SHARIA RURAL BANKS,2 July 2004,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 6/18/PBI/2004 EARNING ASSETS QUALITY FOR SHARIA RURAL BANKS,1 July 2004,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 6/17/PBI/2004 RURAL BANKS BASED ON SHARIA PRINCIPLES,1 July 2004,Bank Indonesia Regulation,Banking
CIRCULAR LETTER NO. 6/26/DPNP STATUTORY RESERVES IN RUPIAHS AND FOREIGN CURRENCIES FOR COMMERCIAL BANKS,30 June 2004,Bank Indonesia Circular Letters,Banking
CIRCULAR LETTER NO. 6/25/DPU EXCHANGE OF RUPIAH CURRENCY,30 June 2004,Bank Indonesia Circular Letters,Payment System And Rupiah Management
BANK INDONESIA REGULATION NR. 6/15/PBI/2004 STATUTORY RESERVES IN RUPIAHS AND FOREIGN CURRENCIES FOR COMMERCIAL BANKS,28 June 2004,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER NO. 6/24/DPNP REVOCATION OF SEVERAL BANK INDONESIA CIRCULAR LETTERS CONCERNING STATUTORY RESERVES FOR COMMERCIAL BANKS IN RUPIAHS AND FOREIGN CURRENCY AT BANK INDONESIA,28 June 2004,Bank Indonesia Circular Letters,Banking
"BANK INDONESIA REGULATION NO. 6/14/PBI/2004 ISSUANCE, CIRCULATION, REVOCATION AS LEGAL TENDER, WITHDRAWAL FROM CIRCULATION, AND DESTRUCTION OF RUPIAH CURRENCY",22 June 2004,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NO. 6/13/PBI/2004 THE ALTERATION ON BANK INDONESIA REGULATION NUMBER 6/8/PBI/2004 CONCERNING BANK INDONESIA REAL TIME GROSS SETTLEMENT SYSTEM,9 June 2004,Bank Indonesia Regulation,Payment System And Rupiah Management
"BANK INDONESIA  REGULATION NUMBER : 3/9/PBI/2001 CONCERNING ISSUANCE AND CIRCULATION OF THE YEAR 2002 ISSUE OF COMMEMORATIVE COINS IN THE 500,000 (FIVE HUNDRED THOUSAND) AND 25,000 (TWENTY FIVE THOUSAND)  RUPIAH DENOMINATION “PERINGATAN SERATUS TAHUN BUNG",6 June 2004,Bank Indonesia Regulation,Payment System And Rupiah Management
CIRCULAR LETTER NO. 6/22/DLN REQUIREMENT AND PROCEDURES FOR CARRYING RUPIAH CURRENCY OUT OF OR INTO THE CUSTOMS TERRITORY OF THE REPUBLIC OF INDONESIA  AND  APPENDIX,10 May 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/21/DPM THE PROCEDURES OF BUYING AND/OR SELLING OF GOVERNMENT SECURITIES IN SECONDARY MARKET BY BANK INDONESIA IN RELATION TO OPEN MARKET OPERATION.  AND  APPENDIX,26 April 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/18/DPNP RISK MANAGEMENT APPLICATION TO BANK SERVICES THROUGH INTERNET (INTERNET BANKING) AND APPENDIX,20 April 2004,Bank Indonesia Circular Letters,Banking
CIRCULAR LETTER NO. 6/20/DPM BLANKET GUARANTEE INTEREST RATE FOR DEPOSIT AND INTERBANK MONEY MARKET  AND  APPENDIX,20 April 2004,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NR. 6/12/PBI/2004 INVESTMENT CREDIT FOR PRE-CONVERSION ESTATE DEVELOPMENT UNDER THE NUCLEUS COMPANY AND SMALLHOLDERS SCHEME FOR TRANSMIGRANTS (PIR-TRANS)  AND  APPENDIX,19 April 2004,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NR.6/10/PBI/2004 RATING SYSTEM FOR COMMERCIAL BANKS,12 April 2004,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 6/11/PBI/2004 THE BLANKET GUARANTEE INTEREST RATE FOR DEPOSITS AND INTERBANK MONEY MARKET,12 April 2004,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER NO.6/16/DPM THE DECISION ON THE MARGIN OF DEPOSIT INTEREST RATE OF THIRD PARTY GUARANTEED BY THE GOVERNMENT/A>  AND  APPENDIX,31 March 2004,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER NO.6/15/DPNP FIT AND PROPER TEST AND APPENDIX,31 March 2004,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO. 6/9/PBI/2004 THE SUBSEQUENT ACTION FOR SUPERVISION AND DESIGNATION OF BANK STATUS,26 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.1/7/PBI/1999, DATED SEPTEMBER 20, 1999 - CONCERNING THE DEBTOR INFORMATION SYSTEM",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/1/PBI/2000, DATED JANUARY 14, 2000 - CONCERNING THE FIT AND PROPER TEST THE GOVERNOR OF BANK INDONESIA",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/5/PBI/2000, DATED FEBRUARY 21, 2000- CONCERNING PROVISION OF BANK FUNDS GUARANTEED BY OTHER BANKS",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/7/PBI/2000, DATED FEBRUARY 23, 2000- CONCERNING THE STATUTORY RESERVE IN RUPIAHS AND FOREIGN CURRENCIES FOR COMMERCIAL BANKS CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/11/PBI/2000, DATED MARCH 31, 2000 - CONCERNING DESIGNATION OF BANK STATUS AND PLACEMENT OF BANKS IN RECEIVERSHIP OF THE INDONESIA BANK RESTRUCTURING AGENCY",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/15/PBI/2000, DATED JUNE 12, 2000 - BANK INDONESIA REGULATION NO.2/16/PBI/2000 - CONCERNING AMENDMENT TO DECREE OF THE BOARD OF MANAGING DIRECTORS OF BANK INDONESIA NO.31/150/KEP/DIR DATED NOVEMBER 12, 1998 CONCERNING DEBT RE",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/16/PBI/2000, DATED JUNE 12, 2000 - CONCERNING AMENDMENT TO DECREE OF THE BOARD OF MANAGING DIRECTORS OF BANK INDONESIA NO.31/177/KEP/DIR DATED DECEMBER 31, 1998 CONCERNING THE LEGAL LENDING LIMIT FOR COMMERCIAL BANKS",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.1/1/PBI/1999, DATED MAY 18TH 1999 - CONCERNING FUNDING FACILITIES FOR RESOLVING SHORT TERM FUNDING DIFFICULTIES FOR COMMERCIAL BANKS",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.1/10/PBI/1999, DATED DECEMBER 3RD, 1999 - CONCERNING PORTFOLIO OF GOVERNMENT BONDS FOR COMMERCIAL BANKS PARTICIPATIG IN THE RECAPITALIZATION PROGRAM",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/6/PBI/2000, DATED FEBRUARY 21ST, 2000 - CONCERNING REQUIREMENTS AND PROCEDURES FOR BANK EXAMINATION",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/10/PBI/2000, DATED MARCH 29TH, 2000 - AMANDEMENT TO BANK INDONESIA REGULATION NO.1/10/PBI/1999 CONCERNING PORTFOLIO OF GOVERNMENT BONDS FOR COMMERCIAL BANKS PARTICIPATING IN THE BANK RECAPITALIZATION PROGRAM",20 March 2004,Bank Indonesia Regulation,Banking
"CIRCULLAR LETTER NO.2/3/DPNP, DATED JANUARY 26TH, 2000 - SCORING PROCEDURE FOR THE FIT AND PROPER TEST",19 March 2004,Bank Indonesia Circular Letters,Banking
"CIRCULLAR LETTER NO.1/5/DPNP, DATED DECEMBER 10TH, 1999 - REQUIREMENTS AND PROCEDURE FOR APPLICATION FOR USE OF GOVERNMENT BONDS AS COLLATERAL FOR COMMERCIAL BANKS PARTICIPATING IN THE RECAPITALIZATION PROGRAM",19 March 2004,Bank Indonesia Circular Letters,Banking
"CIRCULLAR LETTER NO.2/14/DPNP, DATED JUNE 27TH 2000 - DESIGNATION OF SERIES FR0002 GOVERNMENT BONDS FOR TRADING ON THE SECONDARY MARKET",19 March 2004,Bank Indonesia Circular Letters,Banking
"CIRCULAR LETTER NO. 6/13/DPM THE PROCEDURE FOR LICENSING, THE APPLICATION OF KNOW YOUR CUSTOMER PRINCIPLE, THE SUPERVISION, REPORTING, AND SANCTION FOR NON-BANK MONEY CHANGERS  AND  APPENDIX",11 March 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/12/DPNP THE INTEREST RATE MARGIN FOR THIRD PARTY DEPOSIT UNDER GOVERNMENT GUARANTEE,26 February 2004,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NR.6/5/PBI/2004 THE ALTERATION OF BANK INDONESIA REGULATION NUMBER 4/10/PBI/2002 ON BANK INDONESIA CERTIFICATE,16 February 2004,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NR.6/4/PBI/2004 THE AMENDMENT TO BANK INDONESIA REGULATION NUMBER 4/9/PBI/2002 CONCERNING OPEN MARKET OPERATIONS,16 February 2004,Bank Indonesia Regulation,Monetary
"CIRCULAR LETTER NO.6/11/DPM THE CRITERIA, REQUIREMENTS AND PROCEDURES FOR APPOINTMENT OF BIDDERS FOR SOVEREIGN DEBT INSTRUMENTS  AND APPENDIX",16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/10/DPM PROCEDURES FOR GOVERNMENT SECURITIES AUCTION ON THE PRIMARY MARKET,16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/9/DPM PROCEDURE FOR PROVISION OF THE SHARIA BANK SHORT TERM FINANCING FACILITY  AND  APPENDIX,16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/4/DPM ISSUANCE AND TRADING OF BANK INDONESIA CERTIFICATE,16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO.6/5/DPM IMPLEMENTATION AND SETTLEMENT OF BANK INDONESIA RUPIAH DEPOSIT FACILITY (FASBI) AND  APPENDIX,16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/6/DPM OPERATING PROCEDURES FOR BANK INDONESIA WADIAH CERTIFICATES  AND APPENDIX,16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO.6/3/DPM REQUIREMENTS AND PROCEDURE FOR APPOINTMENT OF SUB-REGISTRIES FOR SECURITIES ADMINISTRATION,16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NR. 6/2/DPM USER FEES FOR THE BANK INDONESIA - SCRIPLESS SECURITIES SETTLEMENT SYSTEM AND APPENDIX,16 February 2004,Bank Indonesia Regulation,Monetary
"BANK INDONESIA REGULATION NR. 6/3/PBI/2004 ISSUANCE, SALE AND PURCHASE, AND ADMINISTRATION OF GOVERNMENT SECURITIES",16 February 2004,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NR.6/2/PBI/2004 THE BANK INDONESIA - SCRIPLESS SECURITIES SETTLEMENT SYSTEM (BI-SSSS),16 February 2004,Bank Indonesia Regulation,Monetary
